product_id,commercial_name,raw_product_name,product_category,fabric_structure,material_family,source_type,yarn_count,width_inches,gsm,color,unit,confidence_score,notes
P00061,"30TC80-20 Interlock 36.5""",30TC80-20/IT/365,knitted_fabric,interlock,tc,unknown,30.0,36.5,,,kg,0.7,
P00062,"30CM Single Jersey 17.5""",30CMSJ/17.5,knitted_fabric,single_jersey,cotton,unknown,30.0,17.5,,,kg,0.7,
P00063,"30CM Single Jersey 20.5""",30CMSJ/20.5,knitted_fabric,single_jersey,cotton,unknown,30.0,20.5,,,kg,0.7,
P00064,"34TC80 Rib 32""",34TC80/20RB/32,knitted_fabric,rib,tc,unknown,34.0,32.0,,,kg,0.7,
P00065,"C20 Rib 32""",C20/1RB/32,knitted_fabric,rib,unknown,unknown,,32.0,,,kg,0.7,
P00066,"30CM Rib 32""",30CMRB2/32,knitted_fabric,rib,cotton,unknown,30.0,32.0,,,kg,0.7,
P00067,"30CM Single Jersey 37.5""",30CMSJX2/375,knitted_fabric,single_jersey,cotton,unknown,30.0,37.5,,,kg,0.7,
P00068,"20CM Single Jersey 36.5""",20JCMSJ/365,knitted_fabric,single_jersey,cotton,unknown,20.0,36.5,,,kg,0.7,
P00069,"30SM Single Jersey 20""",30SMSJ/20,knitted_fabric,single_jersey,cotton,unknown,30.0,20.0,,,kg,0.7,
P00070,"24CM Single Jersey 36.5""",24CMSJ/365,knitted_fabric,single_jersey,cotton,unknown,24.0,36.5,,,kg,0.7,
P00071,"24CM Single Jersey 20""",24CMSJ/20,knitted_fabric,single_jersey,cotton,unknown,24.0,20.0,,,kg,0.7,
P00072,"30CM Single Jersey 21.5""",30CMSJ/21.5,knitted_fabric,single_jersey,cotton,unknown,30.0,21.5,,,kg,0.7,
P00073,"20OEW Single Jersey 22""",20OEWSJ/22,knitted_fabric,single_jersey,cotton,unknown,20.0,22.0,,,kg,0.7,
P00074,"34TK Rib 28""",34TKRB/28,knitted_fabric,rib,polyester,unknown,34.0,28.0,,,kg,0.7,
P00075,"30CM Single Jersey 36.5""",30CMSJX2/365,knitted_fabric,single_jersey,cotton,unknown,30.0,36.5,,,kg,0.7,
P00076,"45TC80 Interlock 44""",45TC80/20IT/44,knitted_fabric,interlock,tc,unknown,45.0,44.0,,,kg,0.7,
P00077,"POLY Interlock 40""",POLYIT/40,knitted_fabric,interlock,polyester,unknown,,40.0,,,kg,0.7,
